program_name,hosting_institution,program_type,application_deadline,program_dates,application_link,notes,keywords,funding,career_stage
Volunteers/Interns for Volcano Monitoring at CIIV,Universidad de Colima / CIIV (Colima Intercambio e Investigación en Vulcanología),volunteer,,"Minimum 2-month commitment, flexible start; longer stays given priority",mailto:nick@ucol.mx,"Assist with volcano monitoring field and lab work at Volcán de Colima, Mexico. No salary but affordable accommodation provided. Contact Dr. Nick Varley at nick@ucol.mx to apply.","volcanology, volunteer, fieldwork",Partial funding (housing provided),"Undergraduate, Graduate"
Rising Explorer Grant,The Explorers Club,scholarship,"August 31, 2026",,https://us.list-manage.com/PBYWHSZcDjr?e=9a4dc4a9f5&c2id=2f817acd63fb98aab0441dcce7c8bdca,"For high school students, undergraduates, or independent researchers doing equivalent-level work. Awards up to $3,000. Apply via explorers.org.","exploration, grant, fieldwork","Funded ($3,000 award)",Undergraduate
Pathfinder Grant,The Explorers Club,scholarship,"August 31, 2026",,https://us.list-manage.com/102LwtjHrjP?e=9a4dc4a9f5&c2id=2f817acd63fb98aab0441dcce7c8bdca,"For graduate/post-graduate students or early career scientists conducting fieldwork. Awards up to $5,000. Apply via explorers.org.","exploration, grant, fieldwork","Funded ($5,000 award)","Graduate, Early-career"
Arête Glacier Initiative Funding (RFPs & Frontier Grants),Arête Glacier Initiative,fellowship,"August 31, 2026 (most RFPs); Frontier Grants rolling",,https://www.areteglaciers.org/grant,"Private philanthropic funder for glacier/ice research worldwide. Open RFP topics: grounding zone processes, subglacial hydrology, observational technology, intervention technology, analog field sites. Contact info@areteglaciers.org.","glaciology, ice, grant, funding",Funded (grant funding),Any
Keeping People Safe in Antarctic Fieldwork (Workshop W19),SCAR (Scientific Committee on Antarctic Research) / PSECCO,workshop,"July 31, 2026","August 14, 2026 (Part 1: 11:30-13:00, Part 2: 14:00-15:30)",https://docs.google.com/forms/d/e/1FAIpQLScZM0Gn6eby7YsaRPykXi_ClkUjBerDD1aV6YDLbVO128vJqQ/viewform,"Workshop at SCAR Open Science Conference 2026 on safer, more inclusive Antarctic field environments. Limited to 25 participants, first-come first-served.","antarctic, safety, workshop",Free,Any
U.S.-Chile Fulbright Antarctic Science Exchange,Fulbright / Instituto Antártico Chileno (INACH),fellowship,"September 15, 2026",May 2027 - May 2028 (year-long cycle; 5-6 week in-person component on King George Island in late 2027),https://fulbrightscholars.org/award/us-chile-fulbright-antarctic-science-exchange,"For US citizens who are postdocs/early-career scientists (<=7 years) with a PhD in Environmental Sciences, Biology, Biochemistry, or Chemistry. Dual US-Chilean citizens ineligible. Contact antarctica@iie.org.","antarctic, fellowship, fulbright",Funded (full fellowship),"Postdoc, Early-career"
Kensington Fieldwork Grant,Royal Geographical Society (with IBG),fellowship,"January 8, 2027",,https://www.rgs.org/exploration/grants/expedition-grants/kensington-fieldwork-grant,"Four annual awards of £25,000 for ambitious, innovative field research with local/global impact potential.","geography, expedition, grant","Funded (£25,000 award)",Any
Walters Kundert Fellowship,Royal Geographical Society (with IBG),fellowship,"November 16, 2026",,https://www.rgs.org/exploration/grants/research-grants/walters-kundert-fellowship,"£15,000 for field research in Arctic or high mountain environments.","arctic, mountains, fellowship","Funded (£15,000 award)",Any
Ralph Brown Expedition Award,Royal Geographical Society (with IBG),fellowship,"November 16, 2026",,https://www.rgs.org/exploration/grants/research-grants/ralph-brown-expedition-award,"£15,000 for field research in aquatic environments.","aquatic, fellowship, geography","Funded (£15,000 award)",Any
Thesiger-Oman Fellowships,Royal Geographical Society (with IBG),fellowship,"November 16, 2026",,https://www.rgs.org/exploration/grants/research-grants/thesiger-oman-fellowships,"£15,000 for field research in arid or semi-arid environments.","arid, geography, fellowship","Funded (£15,000 award)",Any
Gilchrist Fieldwork Award,Royal Geographical Society (with IBG),fellowship,"November 16, 2026",,https://www.rgs.org/exploration/grants/research-grants/gilchrist-fieldwork-award,"£15,000 for challenging overseas field research.","geography, fieldwork, fellowship","Funded (£15,000 award)",Any
RGS Small Research Grants (November batch),Royal Geographical Society (with IBG),fellowship,"November 16, 2026",,https://www.rgs.org/exploration/grants/research-grants/rgs-ibg-small-research-grants,"Up to £5,000 for early career researchers.","geography, early-career, grant","Funded (up to £5,000)",Early-career
Patagonian Icefields Research Program 2026 - Volunteer Faculty,Universidad de Magallanes / Patagonian Icefields Research Program,volunteer,"June 1, 2026","November 11-30, 2026",https://www.patagonianicefields.org/volunteer-faculty,"6th expedition, based at Bernal Glacier, Kawésqar National Park, Patagonia, Chile.","glaciology, patagonia, volunteer",Not specified,"Graduate, Postdoc, Early-career"
Patagonian Icefields Research Program 2026 - Student Field School,Universidad de Magallanes / Patagonian Icefields Research Program,field camp,"June 8, 2026 (scholarships); June 30, 2026 (general students)","November 11-30, 2026",https://www.patagonianicefields.org/prospective-students,20-day glaciology field school for graduate students. Two fully-funded scholarships available for students from low/middle-income and South American countries.,"glaciology, patagonia, field school",Fee required (partial scholarships available),Graduate
Polar Eclipse School,Polar Eclipse School (multidisciplinary program),field camp,"May 10, 2026 (extended)","August 8-15, 2026",https://forms.gle/ceHqnuJcMSfg9uy1A,"Multidisciplinary polar community-building program timed with the total solar eclipse in Iceland; includes glacier walks, art projects, and talks.","polar, iceland, eclipse, field school",Not specified,Any
Glacier Change Research Mission Field School (Alaska),Institute for Field Research (IFR) / Connecticut College,field camp,"April 1, 2026 (or when vessel capacity reached)",Summer 2026 (1 week online prep + 12-day expedition aboard the Endeavour),https://bit.ly/GlacierChange,"6-credit course examining glacier change via repeat photography, remote sensing, and field data collection; visits 30+ glaciers in Prince William Sound. No prerequisites.","glaciology, alaska, remote sensing",Not specified,Any
